Absolute Time Status	N/A			
          4.814058131e-01	         -3.674331247e+00			
          4.823823756e-01	         -5.865629573e-01			
          4.833589381e-01	          2.713099017e+00			
          4.843355006e-01	          2.924626041e+00			
          4.853120631e-01	         -5.801140504e-01			
          4.862886256e-01	         -3.608339589e+00			
          4.872651881e-01	         -1.965313385e+00			
          4.882417506e-01	          2.154402239e+00			
          4.892183131e-01	          3.711450206e+00			
          4.901948756e-01	          9.681340704e-01			
          4.911714381e-01	         -3.011862426e+00			
          4.921480006e-01	         -3.259969203e+00			
          4.931245631e-01	          7.770896948e-01			
          4.941011256e-01	          3.469763578e+00			
          4.950776881e-01	          1.967161065e+00			
          4.960542506e-01	         -2.467242527e+00			
          4.970308131e-01	         -3.752501777e+00			
          4.980073756e-01	          1.744655801e-01			
          4.989839381e-01	          3.485673758e+00			
          4.999605006e-01	          2.489292468e+00			
          5.009370631e-01	         -2.095319611e+00			
          5.019136256e-01	         -3.882019122e+00			
          5.028901881e-01	         -3.322085765e-01			
          5.038667506e-01	          3.384058539e+00			
          5.048433131e-01	          2.627063264e+00			
          5.058198756e-01	         -1.935017182e+00			
          5.067964381e-01	         -3.961483747e+00			
          5.077730006e-01	         -1.167633200e-01			
          5.087495631e-01	          3.599971108e+00			
          5.097261256e-01	          2.596299749e+00			
          5.107026881e-01	         -2.290382871e+00			
          5.116792506e-01	         -3.838602234e+00			
          5.126558131e-01	          3.182539183e-01			
          5.136323756e-01	          3.710767212e+00			
          5.146089381e-01	          2.119540757e+00			
          5.155855006e-01	         -2.890878918e+00			
          5.165620631e-01	         -3.638815527e+00			
          5.175386256e-01	          9.786306190e-01			
          5.185151881e-01	          3.802626391e+00			
          5.194917506e-01	          1.346477135e+00			
          5.204683131e-01	         -3.661268076e+00			
          5.214448756e-01	         -2.886141092e+00			
          5.224214381e-01	          2.003345400e+00			
          5.233980006e-01	          3.847294239e+00			
          5.243745631e-01	          1.623873597e-01			
          5.253511256e-01	         -4.204313493e+00			
          5.263276881e-01	         -1.700613433e+00			
          5.273042506e-01	          2.947114537e+00			
          5.282808131e-01	          3.415030547e+00			
          5.292573756e-01	         -1.458020939e+00			
          5.302339381e-01	         -4.266487570e+00			
          5.312105006e-01	         -1.200992095e-01			
          5.321870631e-01	          3.703901318e+00			
          5.331636256e-01	          2.267362358e+00			
          5.341401881e-01	         -3.225014258e+00			
          5.351167506e-01	         -3.379730510e+00			
          5.360933131e-01	          1.615339759e+00			
          5.370698756e-01	          3.901761261e+00			
          5.380464381e-01	          3.805142687e-01			
          5.390230006e-01	         -4.292700184e+00			
          5.399995631e-01	         -1.652336499e+00			
          5.409761256e-01	          3.064869996e+00			
          5.419526881e-01	          3.287260230e+00			
          5.429292506e-01	         -1.948375119e+00			
          5.439058131e-01	         -4.142923062e+00			
          5.448823756e-01	          6.178153526e-01			
          5.458589381e-01	          3.904248799e+00			
          5.468355006e-01	          1.534803911e+00			
          5.478120631e-01	         -3.962058901e+00			
          5.487886256e-01	         -2.470671878e+00			
          5.497651881e-01	          2.595149443e+00			
          5.507417506e-01	          3.626111827e+00			
          5.517183131e-01	         -1.215917324e+00			
          5.526948756e-01	         -4.437818565e+00			
          5.536714381e-01	          9.901983908e-02			
          5.546480006e-01	          3.763221197e+00			
          5.556245631e-01	          1.925613425e+00			
          5.566011256e-01	         -3.821721483e+00			
          5.575776881e-01	         -2.736227371e+00			
          5.585542506e-01	          2.476890724e+00			
          5.595308131e-01	          3.704699344e+00			
          5.605073756e-01	         -1.061567733e+00			
          5.614839381e-01	         -4.464980182e+00			
          5.624605006e-01	          1.039445897e-01			
          5.634370631e-01	          3.788103769e+00			
          5.644136256e-01	          1.928108153e+00			
          5.653901881e-01	         -3.870933041e+00			
          5.663667506e-01	         -2.654886308e+00			
          5.673433131e-01	          2.601663054e+00			
          5.683198756e-01	          3.631978392e+00			
          5.692964381e-01	         -1.293210745e+00			
          5.702730006e-01	         -4.474067605e+00			
          5.712495631e-01	          4.317532430e-01			
          5.722261256e-01	          3.838501582e+00			
          5.732026881e-01	          1.601169419e+00			
          5.741792506e-01	         -4.190732684e+00			
          5.751558131e-01	         -2.224779441e+00			
          5.761323756e-01	          2.933289288e+00			
          5.771089381e-01	          3.430480604e+00			
          5.780855006e-01	         -2.011872049e+00			
          5.790620631e-01	         -4.230828062e+00			
          5.800386256e-01	          1.151974650e+00			
          5.810151881e-01	          3.966156868e+00			
          5.819917506e-01	          7.502372227e-01			
          5.829683131e-01	         -4.562576516e+00			
          5.839448756e-01	         -1.272548361e+00			
          5.849214381e-01	          3.459885319e+00			
          5.858980006e-01	          2.859080127e+00			
          5.868745631e-01	         -3.065969977e+00			
          5.878511256e-01	         -3.553469959e+00			
          5.888276881e-01	          2.087828239e+00			
          5.898042506e-01	          3.856841784e+00			
          5.907808131e-01	         -5.607960871e-01			
          5.917573756e-01	         -4.655535677e+00			
          5.927339381e-01	         -3.345954629e-02			
          5.937105006e-01	          3.849206624e+00			
          5.946870631e-01	          1.857076713e+00			
          5.956636256e-01	         -4.026806789e+00			
          5.966401881e-01	         -2.440397244e+00			
          5.976167506e-01	          2.951133421e+00			
          5.985933131e-01	          3.428733576e+00			
          5.995698756e-01	         -1.984631348e+00			
          6.005464381e-01	         -4.232201241e+00			
          6.015230006e-01	          1.256163680e+00			
          6.024995631e-01	          3.960987678e+00			
          6.034761256e-01	          5.417297535e-01			
          6.044526881e-01	         -4.605626745e+00			
          6.054292506e-01	         -1.015641737e+00			
          6.064058131e-01	          3.588870648e+00			
          6.073823756e-01	          2.593474309e+00			
          6.083589381e-01	         -3.371225430e+00			
